train start... 
episode: 1, step: 42, reward: 103.209, done: True
episode: 2, step: 47, reward: 112.5, done: True
episode: 3, step: 77, reward: 204.4, done: True
episode: 4, step: 35, reward: 80.3, done: True
episode: 5, step: 76, reward: 197.6, done: True
episode: 6, step: 67, reward: 168.7, done: True
episode: 7, step: 66, reward: 173.3, done: True
episode: 8, step: 82, reward: 200.399, done: True
episode: 9, step: 115, reward: 297.5, done: True
episode: 10, step: 75, reward: 198.4, done: True
episode: 11, step: 22, reward: 52.701, done: True
episode: 12, step: 62, reward: 157.5, done: True
episode: 13, step: 183, reward: 385.6, done: True
episode: 14, step: 69, reward: 174.701, done: True
episode: 15, step: 140, reward: 285.1, done: True
episode: 16, step: 68, reward: 181.2, done: True
episode: 17, step: 75, reward: 198.4, done: True
episode: 18, step: 57, reward: 144.4, done: True
episode: 19, step: 3, reward: 9.028, done: True
episode: 20, step: 1, reward: 3.0, done: True
episode: 21, step: 24, reward: 60.572, done: True
episode: 22, step: 71, reward: 173.102, done: True
episode: 23, step: 83, reward: 222.398, done: True
episode: 24, step: 23, reward: 46.201, done: True
episode: 25, step: 90, reward: 235.8, done: True
episode: 26, step: 75, reward: 181.3, done: True
episode: 27, step: 27, reward: 71.498, done: True
episode: 28, step: 27, reward: 56.301, done: True
episode: 29, step: 45, reward: 116.0, done: True
episode: 30, step: 59, reward: 152.301, done: True
episode: 31, step: 38, reward: 87.399, done: True
episode: 32, step: 82, reward: 209.901, done: True
episode: 33, step: 67, reward: 174.399, done: True
episode: 34, step: 61, reward: 152.6, done: True
episode: 35, step: 126, reward: 167.103, done: True
episode: 36, step: 89, reward: 219.498, done: True
episode: 37, step: 36, reward: 75.7, done: True
episode: 38, step: 27, reward: 65.8, done: True
episode: 39, step: 35, reward: 80.3, done: True
episode: 40, step: 3, reward: 9.028, done: True
episode: 41, step: 1, reward: 3.0, done: True
episode: 42, step: 63, reward: 168.072, done: True
episode: 43, step: 75, reward: 198.4, done: True
episode: 44, step: 62, reward: 157.5, done: True
episode: 45, step: 69, reward: 184.2, done: True
episode: 46, step: 61, reward: 158.3, done: True
episode: 47, step: 45, reward: 116.0, done: True
episode: 48, step: 26, reward: 55.2, done: True
episode: 49, step: 102, reward: 258.501, done: True
episode: 50, step: 58, reward: 147.399, done: True
episode: 51, step: 35, reward: 78.4, done: True
episode: 52, step: 72, reward: 189.4, done: True
episode: 53, step: 38, reward: 87.4, done: True
episode: 54, step: 66, reward: 175.2, done: True
episode: 55, step: 81, reward: 218.3, done: True
episode: 56, step: 44, reward: 105.4, done: True
episode: 57, step: 79, reward: 212.3, done: True
episode: 58, step: 70, reward: 179.6, done: True
episode: 59, step: 41, reward: 90.7, done: True
episode: 60, step: 85, reward: 230.3, done: True
episode: 61, step: 3, reward: 9.028, done: True
episode: 62, step: 1, reward: 3.0, done: True
episode: 63, step: 35, reward: 78.372, done: True
episode: 64, step: 76, reward: 197.6, done: True
episode: 65, step: 21, reward: 51.601, done: True
episode: 66, step: 69, reward: 180.399, done: True
episode: 67, step: 72, reward: 191.3, done: True
episode: 68, step: 47, reward: 116.3, done: True
episode: 69, step: 56, reward: 150.9, done: True
episode: 70, step: 59, reward: 152.3, done: True
episode: 71, step: 70, reward: 196.7, done: True
episode: 72, step: 73, reward: 196.2, done: True
episode: 73, step: 23, reward: 51.901, done: True
episode: 74, step: 77, reward: 215.799, done: True
episode: 75, step: 46, reward: 109.5, done: True
episode: 76, step: 113, reward: 306.7, done: True
episode: 77, step: 115, reward: 307.0, done: True
episode: 78, step: 42, reward: 101.301, done: True
episode: 79, step: 84, reward: 229.2, done: True
episode: 80, step: 73, reward: 192.4, done: True
episode: 81, step: 2, reward: 6.028, done: True
episode: 82, step: 1, reward: 3.0, done: True
episode: 83, step: 36, reward: 81.372, done: True
episode: 84, step: 43, reward: 111.9, done: True
episode: 85, step: 26, reward: 62.8, done: True
episode: 86, step: 74, reward: 197.3, done: True
episode: 87, step: 80, reward: 213.4, done: True
episode: 88, step: 47, reward: 114.4, done: True
episode: 89, step: 81, reward: 216.4, done: True
episode: 90, step: 73, reward: 192.4, done: True
episode: 91, step: 60, reward: 151.5, done: True
episode: 92, step: 92, reward: 247.499, done: True
episode: 93, step: 24, reward: 56.801, done: True
episode: 94, step: 77, reward: 204.399, done: True
episode: 95, step: 22, reward: 41.301, done: True
episode: 96, step: 46, reward: 120.899, done: True
episode: 97, step: 71, reward: 188.3, done: True
episode: 98, step: 75, reward: 190.8, done: True
episode: 99, step: 66, reward: 175.2, done: True
episode: 100, step: 23, reward: 55.701, done: True
episode: 101, step: 53, reward: 128.599, done: True
episode: 102, step: 46, reward: 111.4, done: True
episode: 103, step: 2, reward: 6.028, done: True
episode: 104, step: 1, reward: 3.0, done: True
episode: 105, step: 87, reward: 234.371, done: True
episode: 106, step: 75, reward: 200.3, done: True
episode: 107, step: 59, reward: 150.4, done: True
episode: 108, step: 51, reward: 126.4, done: True
episode: 109, step: 61, reward: 156.4, done: True
episode: 110, step: 45, reward: 108.4, done: True
episode: 111, step: 77, reward: 221.5, done: True
episode: 112, step: 61, reward: 152.6, done: True
episode: 113, step: 24, reward: 54.901, done: True
episode: 114, step: 67, reward: 174.399, done: True
episode: 115, step: 67, reward: 176.3, done: True
episode: 116, step: 37, reward: 84.4, done: True
episode: 117, step: 73, reward: 194.3, done: True
episode: 118, step: 25, reward: 54.101, done: True
episode: 119, step: 88, reward: 235.499, done: True
episode: 120, step: 43, reward: 104.3, done: True
episode: 121, step: 23, reward: 44.301, done: True
episode: 122, step: 85, reward: 228.399, done: True
episode: 123, step: 61, reward: 158.3, done: True
episode: 124, step: 50, reward: 121.528, done: True
episode: 125, step: 1, reward: 3.0, done: True
episode: 126, step: 60, reward: 155.272, done: True
episode: 127, step: 66, reward: 173.3, done: True
episode: 128, step: 48, reward: 121.201, done: True
episode: 129, step: 61, reward: 156.399, done: True
episode: 130, step: 44, reward: 105.4, done: True
episode: 131, step: 79, reward: 214.2, done: True
episode: 132, step: 45, reward: 117.9, done: True
episode: 133, step: 61, reward: 158.3, done: True
episode: 134, step: 60, reward: 155.3, done: True
episode: 135, step: 76, reward: 197.6, done: True
episode: 136, step: 80, reward: 215.3, done: True
episode: 137, step: 48, reward: 117.4, done: True
episode: 138, step: 48, reward: 115.5, done: True
episode: 139, step: 80, reward: 215.3, done: True
episode: 140, step: 148, reward: 406.0, done: True
episode: 141, step: 73, reward: 194.3, done: True
